,premise_emotion,premise_motivation,premise_consequence,premise_rot,hypothesis_emotion,hypothesis_motivation,hypothesis_consequence,hypothesis_rot
4126,Someone's emotion is annoyed.,Someone's motivation is to be helpful.,[immoral_consequence] Someone in the break room was upset and resents him.,It's understandable to be upset when someone makes a mess in the microwave.,Someone's emotion is happy.,Someone's motivation is to be helpful.,[immoral_consequence] The neighbors are upset with the smell of the microwave.,It's good to leave dirty dishes in the microwave.
4127,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I'm unable to get enough exercise and lose weight.,It's good to have a workout bench.,I (myself)'s emotion is frustrated.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I feel like a failure and have to go to the gym.,It's good to exercise.
4128,.,.,"[immoral_consequence] The fire is reported to the police, and the community is unable to help.",It's good to be aware of your actions.,.,.,[immoral_consequence] The fire was sparked by the fire and the community was devastated.,It's good to make a statement.
4129,Coworker's emotion is annoyed.,Coworker's motivation is to be helpful.,[immoral_consequence] My coworker is unable to answer any of the dumb questions he asked.,It's good to be honest with your coworkers.,Coworker's emotion is happy.,Coworker's motivation is to be helpful.,[immoral_consequence] My coworker is annoyed and resents him for being so rude.,It's good to talk to your coworkers.
4130,.,.,[moral_consequence] The new train is a great experience and it is a great experience.,It's good to enjoy the new train.,.,.,[moral_consequence] You will feel loved by the new train.,It's good to love the new train.
4131,.,.,[immoral_consequence] The other people in the house were unable to get to the house.,It's good to be careful when moving slowly.,.,.,[immoral_consequence] The other people in the area are unable to hear the sound of the noise.,It's good to be aware of your movements.
4132,My brother's emotion is angry.,Brother's motivation is to be helpful.,[immoral_consequence] My brother is very upset with me and is angry with me.,It's wrong to be angry with your sibling.,My brother's emotion is sad.,My brother's motivation is to be helpful.,[immoral_consequence] My brother's dog is a bit scared of the firecracker.,It's good to be careful with your pets.
4133,.,.,[immoral_consequence] The band is unable to play music without permission.,It's good to have a name that is good for you.,I (myself)'s emotion is sad.,.,[immoral_consequence] The acoustic doodlings are a bit of a scream and are a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a bit a.,It's okay to be upset when someone is doing something you don't like.
4134,.,.,[immoral_consequence] The teacher scolds him for not reminding him of the assignment.,It's good to be aware of your subject.,.,.,"[moral_consequence] The teacher is able to help him with the assignment, and he is able to get to know the teacher.",It's good to remind others of their feelings.
4135,I (myself)'s emotion is sad.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I feel bad for not getting healthy.,It's good to be healthy.,I (myself)'s emotion is irritated.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I feel like I am not eating healthy and not able to get enough nutrients.,It's good to be healthy.
4136,Health department's emotion is upset.,Health department's motivation is to be helpful.,[immoral_consequence] The health department is unable to help out the restaurant.,It's good to be careful when you're going to eat a restaurant.,I (myself)'s emotion is relieved.,Health department's motivation is to be helpful.,[moral_consequence] The health department is happy to see that my favorite restaurant is shut down.,It's good to be reassured when your favorite restaurant is shut down.
4137,.,.,[immoral_consequence] The wind blows through the branches of the tree.,It's good to be aware of the wind.,.,.,[immoral_consequence] The leaves are shattered and the wind swells.,It's good to be aware of the weather.
4138,I (myself)'s emotion is annoyed.,Friend's motivation is to be helpful.,[immoral_consequence] I was unable to get back to work and was unable to get back to work.,It's good to go to the bathroom when you're at work.,Friend's emotion is happy.,Friend's motivation is to be helpful.,[immoral_consequence] My friend's friend was annoyed with me and resents me.,It's good to go to the bathroom when you're tired.
4139,I (myself)'s emotion is frustrated.,I (myself)'s motivation is to be a good employee.,[immoral_consequence] The company is unable to pay for the company's expenses.,It's good to work for a small company.,I (myself)'s emotion is frustrated.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The company is unable to pay for the company and is unable to pay for the company.,It's good to work for a small company.
4140,.,.,[immoral_consequence] The people who witnessed the illegal transactions were unable to get involved in the illegal transactions.,It's good to witness illegal transactions.,.,.,[immoral_consequence] The other people in the table are unable to see the transactions.,It's good to witness things that aren't worth it.
4141,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a concequence.,[immoral_consequence] My parents are very sad and don't want to see me as a parent.,It's okay to be sad when your parents smoke.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good parent.,[moral_consequence] My parents are able to control their health and feel better.,It's good to be happy when your parents smoke.
4142,.,.,[immoral_consequence] The player will be unable to play for the key and will be unable to play for it.,It's good to play for your opponent.,I (myself)'s emotion is disappointed.,.,"[immoral_consequence] The field will be a bit too weak to make a play for the game, and he's unable to play for it.",It's good to play for your team.
4143,.,.,[immoral_consequence] His eyes were swollen and swollen.,It's good to be careful when you're looking at your eyes.,.,.,[immoral_consequence] The man's eyes were like a winter sky.,It's good to be aware of your eyes.
4144,.,.,[moral_consequence] The two theories are able to be able to distinguish themselves.,It's good to be honest with people.,.,.,[immoral_consequence] The two theories are reprimanded for their wiltness.,It's good to be honest with your friends.
4145,.,.,[immoral_consequence] The other people are angry at the words.,It's good to be respectful to others.,.,.,[immoral_consequence] The other people who are angry are more likely to be a louder person.,It's good to be respectful to others.
4146,I (myself)'s emotion is sad.,I (myself)'s motivation is to have fun.,[immoral_consequence] My friends and I got drunk and resent me for destroying the night.,It's good to have friends that you enjoy.,I (myself)'s emotion is happy.,Friends' motivation is to be helpful.,[immoral_consequence] My friends were unable to get to the end of the day and were unable to get to the end of the day.,It's good to have friends that are a good time.
4147,Coworker's emotion is annoyed.,Coworker's motivation is to be helpful.,[immoral_consequence] My coworker gets fired for a bad behavior.,It's good to be late for work.,Coworker's emotion is happy.,Coworker's motivation is to be helpful.,[immoral_consequence] My coworker is unable to work on time and is unable to work on time.,It's good to be able to work late.
4148,Coworker's emotion is sad.,Coworker's motivation is to be helpful.,[immoral_consequence] My coworker is unable to find a new job and is unable to find a new job.,It's good to find a new job.,Coworker's emotion is happy.,Coworker's motivation is to be helpful.,[immoral_consequence] My coworker is unable to find a new job and is unable to find a new job.,It's good to find a new job.
4149,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good photographer.,[immoral_consequence] I was unable to see my eyes tearing up and screamed at me.,It's good to be aware of your surroundings.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was rushed to the hospital for a week and reprimanded.,It's good to be aware of your health.
4150,Tom's emotion is proud.,Tom's motivation is to be a good man.,[moral_consequence] The man's boss is happy to see him.,It's good to work hard.,.,Tom's motivation is to be a good slug.,[immoral_consequence] The slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug slug.,It's good to work hard.
4151,.,.,[immoral_consequence] Her anxiety was so scared that she couldn't control her mind.,It's good to be scared.,.,.,[immoral_consequence] The other people in the house are scared of the fear.,It's good to be afraid.
4152,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to eat.,[immoral_consequence] The neighbors were upset and resent me for not putting cheese on it.,It's good to get a good meal.,I (myself)'s emotion is happy.,I (myself)'s motivation is to eat.,[moral_consequence] The restaurant was happy to have a good meal.,It's good to eat a healthy meal.
4153,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a landlord.,[immoral_consequence] My landlord is unable to pay for the house and is unable to pay for the house.,It's understandable to be mad when your landlord sells your house.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My landlord is angry and yells at me.,It's good to be happy when your landlord is making you move.
4154,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be safe.,[immoral_consequence] My landlord was unable to get my property back.,It's understandable to be annoyed when your landlord enters your property without telling you.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be safe.,[immoral_consequence] My landlord was unable to get my property back.,It's good to be happy when your landlord enters your property without telling you.
4155,I (myself)'s emotion is cautious.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was unable to get a box of chocolate.,It's good to be careful when you're having a box chocolate.,I (myself)'s emotion is proud.,I (myself)'s motivation is to be healthy.,[moral_consequence] I feel very proud of myself and feel better about it.,It's wrong to break your diet.
4156,.,.,[immoral_consequence] The soldiers are unable to get the training done and are unable to get the training done.,It's good to be prepared for a military training.,.,.,[immoral_consequence] The people in the area are unable to get the training they need to get in the area.,It's good to be aware of the consequences of your actions.
4157,I (myself)'s emotion is sad.,Best friend's motivation is to be safe.,[immoral_consequence] My friend's friend was unable to get home and reprimanded for leaving me alone.,It's good to be friends with strangers.,Best friend's emotion is happy.,Best friend's motivation is to be helpful.,[immoral_consequence] My friend's friend scolds me for abandoning me.,It's wrong to abandon your friend.
4158,A man's emotion is scared.,Man's motivation is to be safe.,[immoral_consequence] The man is arrested for assault and is arrested.,It's wrong to punch people.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be safe.,[moral_consequence] The man feels better after he punched me on the subway.,It's wrong to punch someone on the subway.
4159,Boss' emotion is irritated.,Boss' motivation is to be understood.,[immoral_consequence] The boss is unable to speak to the secretary for a while.,It's good to be honest with your boss.,.,Boss' motivation is to be responsible.,[immoral_consequence] The boss is arrested for a crime.,It's wrong to fire someone.
4160,I (myself)'s emotion is annoyed.,The johnson family's motivation is to be helpful.,[immoral_consequence] The owners of the lawn are upset with the fees and are angry at the lack of a proper lawn.,It's good to do your lawn properly.,I (myself)'s emotion is naive.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The owner of the lawn is unable to pay the monthly fee for the lawn.,It's good to do your lawn properly.
4161,I (myself)'s emotion is upset.,Girlfriend's motivation is to be loved.,[immoral_consequence] My best friend was so upset that her girlfriend kissed her.,It's wrong to kiss your best friend.,I (myself)'s emotion is happy.,Girlfriend's motivation is to be loved.,[immoral_consequence] My best friend was hurt and resents me.,It's good to kiss your best friend.
4162,Friends' emotion is disgusted.,Friends' motivation is to be rude.,[immoral_consequence] My friends are disgusted by the pranks and feel like they are being a jerk.,It's wrong to be disgusted by your friends.,Friends' emotion is disgusted.,Friends' motivation is to be rude.,[immoral_consequence] My friends are hurt by the pranks and feel violated.,It's wrong to be pranks on your friends.
4163,I (myself)'s emotion is sad.,.,[immoral_consequence] You might think you're insane or totally crazy.,It's wrong to think you're insane.,I (myself)'s emotion is nutty.,.,[immoral_consequence] You might think you're a nutty person.,It's good to be nutty.
4164,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My daughter is embarrassed and embarrassed by the video.,It's good to be honest with your kids.,I (myself)'s emotion is proud.,I (myself)'s motivation is to be honest.,[immoral_consequence] My daughter was unable to watch youtube videos on her tablet.,It's good to be proud of your kids.
4165,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was rushed to the hospital and rushed to the hospital.,It's good to be patient when you're on an airplane.,I (myself)'s emotion is happy.,I (myself)'s motivation is to have fun.,[immoral_consequence] The baby's crying is a bit irritated and resents me for not being able to help.,It's good to be happy when you're on a flight.
4166,.,.,[immoral_consequence] The girl's eyes are irritated by the light.,It's good to be able to see a person who is light.,.,.,[immoral_consequence] The other passengers are unable to get to the airport.,It's good to be able to travel.
4167,.,.,"[immoral_consequence] The people who smoke are very upset and upset, and they aren't able to get to know each other.",It's good to compare things to others.,.,.,[immoral_consequence] The people who got a cigarette bush are unable to drink a cigarette.,It's good to be able to make a cigarette bush.
4168,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] The two of them had a great time together.,It's good to meet new people.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,[moral_consequence] The next week we had a good time.,It's good to meet new people.
4169,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a married person.,[immoral_consequence] I never met anyone who was married or too young or too naive to know about the pleasures of life and its beautiful moments.,It's good to be a married person.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good wife.,[immoral_consequence] I was never able to get involved with anyone who was married or too young to know the score.,It's good to be a married person.
4170,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good friend.,[immoral_consequence] I am unable to get a job and my friends aren't able to afford it.,It's good to move away from your friends.,Friends' emotion is sad.,Friends' motivation is to be safe.,[immoral_consequence] My friends are upset that they aren't able to live their lives.,It's good to move away from your friends.
4171,I (myself)'s emotion is sad.,I (myself)'s motivation is to be honest.,[immoral_consequence] My wife is hurt and tells me she isn't able to get her phone back.,It's wrong to cheat on your partner.,I (myself)'s emotion is sad.,Wife's motivation is to be a cheater.,[immoral_consequence] My wife is devastated that her husband is cheating on her.,It's wrong to cheat on your partner.
4172,.,.,[immoral_consequence] The company's employees were unable to work for the rest of the day.,It's good to work hard at work.,.,.,[immoral_consequence] The company's employees are upset and angry at her.,It's good to work hard for your company.
4173,Zoe's emotion is apprehensive.,Zoe's motivation is to be a good person.,[immoral_consequence] Zoe is unable to focus on her body and is unable to focus on her body.,It's wrong to describe people as normal.,Zoe's emotion is sad.,Zoe's motivation is to be a good man.,[immoral_consequence] Zoe's fairies are reprimanded for being a jerk.,It's wrong to be away with fairies.
4174,.,.,[moral_consequence] The man's friends were happy to see the images.,It's good to be proud of your images.,.,.,"[immoral_consequence] The photographer's feelings are hurt, and he is unable to see the images.",It's good to be proud of your images.
4175,.,.,[immoral_consequence] You are unable to pay for your own money and are unable to pay for your own expenses.,It's good to be able to get a paycheck.,.,.,[immoral_consequence] The bacon is a bit sour and you are unable to eat again.,It's good to be able to eat healthy.
4176,I (myself)'s emotion is happy.,Friend's motivation is to have fun.,[immoral_consequence] My friend's friend left me alone and ruined the friendship.,It's good to hang out with someone you've never met before.,I (myself)'s emotion is happy.,My friend's motivation is to be respectful.,"[immoral_consequence] My friend's feelings are hurt, and they both get into a fight.",It's wrong to ditch your friend to go talk to someone you just met.
4177,.,.,[moral_consequence] The new health care plan is a good way to get better.,It's good to plan for your health.,.,.,[moral_consequence] The foundations are a good idea for a new health care plan.,It's good to plan for your health.
4178,.,.,[immoral_consequence] The other guests were disappointed and resentful.,It's good to have a party.,.,.,[immoral_consequence] The party was ruined by the death of the party.,It's good to be prepared for a party.
4179,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a smoker.,[immoral_consequence] The ash is a hazard and is a hazard.,It's okay to be upset when you're smoking cigarettes.,I (myself)'s emotion is disgusted.,I (myself)'s motivation is to be a smoker.,[immoral_consequence] I'm a bit depressed and irritated by the smoke.,It's wrong to smoke cigarettes.
4180,I (myself)'s emotion is angry.,Parents' motivation is to be honest.,[immoral_consequence] My parents get angry with me and yell at me.,It's okay to be upset when your parents argue.,Parents' emotion is angry.,Parents' motivation is to be helpful.,[immoral_consequence] My parents are hurt by the argument and are angry at me.,It's good to fight with your parents.
4181,I (myself)'s emotion is irritated.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I didn't mean to complicate something.,It's okay to be frustrated when you don't want to complicate things.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I didn't mean to make heavy weather.,It's okay to not want to make heavy weather.
4182,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good friend.,[immoral_consequence] I have no friends at my new job.,It's good to have friends.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good friend.,[immoral_consequence] I feel a little irritated by the lack of friends at my new job.,It's good to have friends.
4183,.,.,[immoral_consequence] The other people are unable to find the right weight.,It's good to look at people that are overweight.,.,.,[immoral_consequence] lucy is a rake and is a bit irritated.,It's good to look at lucy.
4184,I (myself)'s emotion is happy.,.,[immoral_consequence] The other people in the house were irritated by the smell of the odor.,It's good to be careful when you're looking for something.,.,.,[immoral_consequence] The man's eyes were irritated and irritated.,It's good to have a good time with your friends.
4185,Mother's emotion is annoyed.,Mother's motivation is to be helpful.,[immoral_consequence] The mother scolds her son for not listening to her.,It's good to listen to your children.,Mother's emotion is happy.,Mother's motivation is to be helpful.,[immoral_consequence] The mother is unable to speak to her son.,It's good to drink in front of your kids.
4186,.,.,[moral_consequence] The author's friends were impressed by the book.,It's good to read books.,.,.,[moral_consequence] The author's friends and family are delighted with the book.,It's good to be creative.
4187,.,.,[moral_consequence] The work environment is clean and tidy.,It's good to clean your clothes for work.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good worker.,[immoral_consequence] I feel bad that I have to wear wrinkled clothes.,It's good to be able to get to work with someone you like.
4188,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good student.,[immoral_consequence] I failed the test and I was unable to get a grade.,It's good to study hard for your test.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be a good student.,[immoral_consequence] I was unable to get a good grade on the exam.,It's good to study hard.
4189,I (myself)'s emotion is sad.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I was unable to lift weight and was unable to lift weight.,It's wrong to hurt your ankle.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I was unable to lift weight because of the injury.,It's good to be elated when you find out you can't lift weight.
4190,.,.,[immoral_consequence] The train tracks were smashed and smashed into a sandbox.,It's good to be aware of your surroundings.,.,.,[moral_consequence] The other people were able to see the shins and shins.,It's good to be careful when you're on a track.
4191,.,.,[immoral_consequence] The weather was a bit cold and wet.,It's good to have a warm and humid climate.,.,.,"[immoral_consequence] The snow was a bit chilly and snoring, and it was a bit cold.",It's good to be aware of the dangers of snow.
4192,Old woman's emotion is sad.,Old woman's motivation is to be safe.,[immoral_consequence] The old woman was unable to get her heart shut.,It's good to keep your heart closed.,Old woman's emotion is happy.,Old woman's motivation is to be loved.,[moral_consequence] The old woman had an open heart.,It's good to have an open heart.
4193,Girl's emotion is sad.,Girl's motivation is to be loved.,"[immoral_consequence] The girl's feelings are hurt, and she feels bad about herself.",It's good to meet people on Tinder.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good dating partner.,[immoral_consequence] The girl on Tinder is very upset and feels like she isn't dating her.,It's good to be able to find someone you like.
4194,My son's emotion is sad.,My son's motivation is to be safe.,[immoral_consequence] My son is scolded by the scamp for stealing.,It's wrong to steal from your children.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be evil.,[immoral_consequence] My son is reprimanded by his parents for stealing.,It's wrong to steal things from your children.
4195,I (myself)'s emotion is disgusted.,I (myself)'s motivation is to find a worm.,[immoral_consequence] The worm was wormed and wormed and wormed.,It's good to find bugs.,I (myself)'s emotion is irritated.,I (myself)'s motivation is to be safe.,[immoral_consequence] The worm is causing me to feel bad.,It's good to be aware of your health.
4196,.,.,[moral_consequence] The man's body is a good fit.,It's good to enjoy your gym.,.,.,[immoral_consequence] The doctor finds out that he liked the gym and reprimands him for being a jerk.,It's good to enjoy the gym.
4197,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The other guy at work is a bit sad and isn't able to get to work with her again.,It's good to have friends.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The other guy is annoyed that she's eating lunch with another guy and is unable to get to work.,It's good to have a partner that you like.
4198,President's emotion is remorseful.,President's motivation is to be understood.,[immoral_consequence] The president is unable to stop the accusation and is unable to stop the accusation.,It's wrong to accuse someone of being a blant denial.,The president's emotion is cautious.,President's motivation is to be respectful.,"[immoral_consequence] The president's actions are hurt, and he is fired.",It's good to be honest with people.
4199,I (myself)'s emotion is irritated.,I (myself)'s motivation is to be dry.,[immoral_consequence] I'm unable to get a job.,It's good to be dry.,I (myself)'s emotion is happy.,.,[immoral_consequence] I'm a bit overused and irritated.,It's wrong to be an overused well.
4200,.,.,"[immoral_consequence] The money you lost is lost, and you lose money.",It's good to find a car that has a rotted away.,.,You're expected to buy a car that has a good condition.,[moral_consequence] You can buy a new car that you like and you can buy it with confidence.,It's good to buy a car that has a rust rust.
4201,.,.,[moral_consequence] You should be able to work on the document for a long time.,It's good to work on a document.,.,.,[moral_consequence] The cows are happy to have a good time.,It's good to massage your animal.
4202,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] The neighbors are annoyed by the noises and call the police.,It's good to listen to the noises of others.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be comfortable.,[immoral_consequence] The noises in the woods are causing me to feel a little irritated.,It's good to have a perfect sleep.
4203,I (myself)'s emotion is confused.,I (myself)'s motivation is to be understood.,"[immoral_consequence] The situation is ruined, and we don't know what to do.",It's good to talk through things that aren't going to happen.,I (myself)'s emotion is confused.,I (myself)'s motivation is to be helpful.,[moral_consequence] I was able to get the score and get the score.,It's good to know the score.
4204,I (myself)'s emotion is ashamed.,I (myself)'s motivation is to be respectful.,[immoral_consequence] The person who was racist and racist was reprimanded by the police.,It's wrong to be racist.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be respectful.,[immoral_consequence] The person who I saw was hurt and racist and resentful of the person.,It's wrong to be racist.
4205,Falkyr's emotion is upset.,Falkyr's motivation is to be helpful.,"[immoral_consequence] Falkyr's feelings are hurt, and he is unable to get involved.",It's good to fight with people.,Falkyr's emotion is sad.,Falkyr's motivation is to be helpful.,"[immoral_consequence] Falkyr's feelings are hurt, and he is unable to get to know him.",It's good to be prepared for a fight.
4206,.,.,[immoral_consequence] The other people in the world are unable to get help from the police.,It's good to smoke cigarettes.,.,.,[immoral_consequence] The smokers were able to smoke cigarettes.,It's good to be careful when smoking cigarettes.
4207,.,.,[immoral_consequence] The other people in the room are upset and upset.,It's good to look at things that aren't working out.,.,.,[immoral_consequence] The other people in the house are upset with her.,It's good to look like a vase.
4208,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be creative.,[immoral_consequence] I'm not able to finish the project without getting the job done.,It's good to work hard on your project.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I'm not able to finish the project without getting a job done.,It's good to work hard at projects.
4209,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] The other people in the parking lot were unable to get food.,It's good to be careful when you spill your grocery bag.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be respectful.,[immoral_consequence] Everyone was annoyed by the food spill and yells at me.,It's good to be respectful to others.
4210,I (myself)'s emotion is scared.,I (myself)'s motivation is to be safe.,[immoral_consequence] I woke up to the sound of growing outside my tent.,It's good to be mindful of your surroundings.,I (myself)'s emotion is scared.,I (myself)'s motivation is to be safe.,[moral_consequence] I woke up to the sound of a grizzly bear growing outside my tent.,It's good to be open-minded.
4211,.,.,[moral_consequence] The forest was able to get to the rescue without incident.,It's good to be careful when you're in a wildfire.,.,.,[moral_consequence] The wildfire swam through the forest and the forest was able to enjoy the wildfire.,It's good to be prepared for wildfires.
4212,I (myself)'s emotion is happy.,I (myself)'s motivation is to help my son.,[moral_consequence] My son had an ingrown toenail and he was able to get to the podiatrist.,It's good to take your child to the podiatrist.,I (myself)'s emotion is happy.,My son's motivation is to be safe.,[immoral_consequence] My son is unable to get his toenail removed and has to be taken to the podiatrist.,It's good to take your child to the podiatrist.
4213,.,.,[immoral_consequence] The cafés are ruined by the new cafes.,It's good to be creative.,.,.,[immoral_consequence] The coffee is ruined by the coffee being a little ruined.,It's good to be creative.
4214,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good friend.,[immoral_consequence] I'm unable to hang out with my friends and never has time to hang out.,It's good to have time to hang out with your friends.,I (myself)'s emotion is frustrated.,I (myself)'s motivation is to be helpful.,[moral_consequence] I am able to make more time for my friends.,It's good to be happy about your work.
4215,Mailman's emotion is angry.,Mailman's motivation is to be safe.,[immoral_consequence] The mailman is arrested for theft.,It's wrong to steal from someone.,I (myself)'s emotion is sad.,Mailman's motivation is to be safe.,[immoral_consequence] The mailman was arrested for theft.,It's wrong to steal from someone.
4216,Best friend's emotion is sad.,I (myself)'s motivation is to be honest.,[immoral_consequence] My best friend's friend is hurt and hurt.,It's wrong to tell your best friend's secrets to a friend.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be honest.,[immoral_consequence] I feel like a loyal friend for telling my best friend's secret to a friend.,It's wrong to tell your best friend's secrets to a friend.
4217,.,.,[immoral_consequence] The leaders will be unable to deal with abundance serenity.,It's good to be prepared for your own decisions.,Leaders' emotion is angry.,.,[immoral_consequence] The leaders will be able to deal with the ocean of resentment.,It's good to be honest with people.
4218,Someone's emotion is irritated.,Someone's motivation is to be a good person.,[immoral_consequence] Someone makes fun of you and makes fun of you.,It's good to make fun of yourself.,Others' emotion is sad.,Others' motivation is to be nice.,[immoral_consequence] The other people who aren't interested in you aren't happy with your efforts.,It's good to look nice for others.
4219,Optometrist's emotion is cautious.,Optometrist's motivation is to be helpful.,[moral_consequence] I was able to get some help and a better vision.,It's good to be a doctor when you're a doctor.,Optometrist's emotion is apprehensive.,Optometrist's motivation is to be helpful.,[immoral_consequence] The optometrist's warning is a symptom of the eye and is unable to see the eye.,It's good to be happy about losing your vision.
4220,Friend's emotion is sad.,Friend projectile's motivation is to see what was going on.,[immoral_consequence] I was unable to get to the rollercoaster and was unable to get to the rollercoaster.,It's good to be aware of your friends' problems.,Friend's emotion is sad.,Friend's motivation is to be helpful.,[immoral_consequence] My friend was horrified that projectile vomit on the ride.,It's okay to be upset when your friend is projectile.
4221,People's emotion is sad.,People's motivation is to be respectful.,[immoral_consequence] People think the old man's temper is unsociable and unacceptable.,It's wrong to be unsociable and unacceptable.,Old man's emotion is sad.,Old man's motivation is to be a good man.,[immoral_consequence] People think the old man is a sour man.,It's good to be honest with old people.
4222,I (myself)'s emotion is sad.,I (myself)'s motivation is to be a good employee.,[immoral_consequence] I was fired from my job.,It's wrong to get fired from your job.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be free.,[immoral_consequence] I was fired from my job for a bad reason.,It's good to get fired from your job.
4223,.,.,[moral_consequence] The audience was impressed by the movie.,It's good to enjoy a movie.,.,.,[moral_consequence] The audience enjoyed the movie and enjoyed it.,It's good to listen to sermons.
4224,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] The phone was unable to be repaired and the phone was unable to be repaired.,It's good to buy new things online.,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to get a new phone.,[immoral_consequence] The phone box was ruined and the phone box was ruined.,It's good to open your phone box when you're in a hurry.
4225,I (myself)'s emotion is happy.,Boy's motivation is to be loved.,[moral_consequence] My friend was happy that he came to me and said he was in love with him.,It's good to be in love with your friends.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be loved.,[moral_consequence] I was able to find out that a boy liked me and was happy that he was in love with my best friend.,It's good to be happy with your friends.
4226,Co-worker's emotion is annoyed.,Co-worker's motivation is to be helpful.,[immoral_consequence] I'm unable to talk to a coworker.,It's good to have a coworker.,Co-worker's emotion is sad.,Co-worker's motivation is to be helpful.,[immoral_consequence] My co-worker feels like he's being a jerk.,It's okay to be frustrated when your co-worker isn't able to ruin your day.
4227,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] You and me aren't able to live in a place that isn't a good place to live.,It's good to be aware of your own situation.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be safe.,[immoral_consequence] You and me are unable to live in the sun.,It's good to be outdoors.
4228,Roommate's emotion is disappointed.,Roommate's motivation is to be helpful.,[immoral_consequence] My roommate is so upset that she hasn't cleaned the dishes.,It's good to be careful with your dishes.,Roommate's emotion is happy.,Roommate's motivation is to be helpful.,[immoral_consequence] My roommate is annoyed that they didn't do the dishes and is angry at her.,It's good to do things for your roommate.
4229,I (myself)'s emotion is proud.,My favorite team's motivation is to win.,"[immoral_consequence] My favorite team won the game, and they won the game.",It's good to be proud of your favorite team.,I (myself)'s emotion is happy.,.,[immoral_consequence] The team's motivation is to be a good team.,It's good to be happy for your favorite team.
4230,.,.,[moral_consequence] The other party is able to take action and is able to get the situation done.,It's good to take action.,.,.,[moral_consequence] The people in the neighborhood are able to get to the airport quickly.,It's good to be able to get somewhere.
